submission_id,talk_title,assigned_theme,confidence,notes
e753bd3c-bf98-2779-4664-3da5906f5f48,Sovereign Cloud: what changed when our regulator weighed in,Cloud spend as financial discipline,high,
68d9a64d-82dc-0b6f-7b71-c6bc8642168c,"AI Pair Working for analysts, lawyers, and PMs",AI in the boring middle of the workday,high,
8445d6d1-c7c9-6719-dc4f-e57a3d475062,Co-Building with Customers: lessons from three pilots,Real customer stories from inside the company,high,
bbbbd41f-8077-bb63-e4e2-ce0c2228b504,Trust as a Feature: what customers actually buy,Real customer stories from inside the company,high,
9a5ff4d5-50de-649b-2dcf-b1958588485d,"Show, Don't Sell: customer demos as the new sales motion",Real customer stories from inside the company,high,
950d1969-4cc6-28aa-3593-4d44cf9c94ef,"Shift-Left, but Honestly",Security and compliance as something we ship,high,
784f2538-d676-5265-7ce7-0438c065d011,DX as a P&L Conversation,Developer experience as a strategic investment,high,
1e976a66-8f5c-3cfa-19b9-e35784394c5b,"Trust, but Verify: human review patterns for AI output",AI in the boring middle of the workday,high,
e8a05eaf-8206-8cbe-4adb-60e6070aa3db,From Support Ticket to Roadmap Item: closing the loop,Real customer stories from inside the company,high,
5a848fae-e11b-df4b-f703-9d9200085ba2,Trust as a Feature: what customers actually buy,Real customer stories from inside the company,high,
78c8e1c5-ecf9-d07b-1c2f-0930f38b449d,"Press, Podcasts, and Pull Requests: a brand-presence playbook",Real customer stories from inside the company,medium,exec-only theme overlap (external brand visibility)
2e32f03d-a472-872e-5bc9-0b6d489a5eab,"Trust, but Verify: human review patterns for AI output",AI in the boring middle of the workday,high,
bef3b766-8a49-2708-1b65-663227bb9453,Shipping AI copilots into production workflows,AI in the boring middle of the workday,high,
840ce79f-0ed1-383f-a0ab-abb6f95c8911,"Onboarding in Hours, Not Weeks",Developer experience as a strategic investment,high,
3da43380-77eb-20d8-e866-3e44eaabe7d1,Data Contracts between platform and product,Real customer stories from inside the company,medium,data talk re-cast as customer-story angle
7d388337-fdc7-c9b0-3731-bef4564452c4,Decommissioning the Spreadsheet of Truth,Real customer stories from inside the company,medium,data talk re-cast as customer-story angle
d30479f2-1153-97b9-25a6-4ae253ed4b72,Internal Developer Platforms: pitched honestly,Developer experience as a strategic investment,high,
9f40d86d-773d-0c54-ebc9-e572493b5659,Trust as a Feature: what customers actually buy,Real customer stories from inside the company,high,
78740410-8604-2407-4e5c-ba452833a7f0,Why I Stopped Calling It 'Tooling' and Started Calling It 'DX',Developer experience as a strategic investment,high,
b3c3ed5e-4fca-8b36-76f5-7cbe4c9866a1,The Lakehouse Conversation we keep avoiding,unassigned,low,considered Data direction; cut as cross-cutting
eba0aedc-1ecd-4621-5179-849800cbf081,Closing the Tap: cloud spend governance that actually works,Cloud spend as financial discipline,high,
eac64617-fec6-5164-54be-536f34f20611,How We Survived Our First Pen Test,Security and compliance as something we ship,high,
031c4b89-6b68-d3b3-2fec-c5a90b72f69f,The Ten-Minute Loop: AI-assisted research in product teams,AI in the boring middle of the workday,high,
c459ef7a-535b-e9cf-a695-9efcfa907975,"Onboarding in Hours, Not Weeks",Developer experience as a strategic investment,high,
38b10dae-09bd-2cde-a5fd-9ea38af4eefb,The Ten-Minute Loop: AI-assisted research in product teams,AI in the boring middle of the workday,high,
4fa600ca-b000-9ee6-fbf6-49fd0d00a5f9,"Real Numbers, Real Names: outcome stories from year one",Real customer stories from inside the company,high,
1350962c-254f-f3e5-b9e1-470c9ac4a9bc,"AI Pair Working for analysts, lawyers, and PMs",AI in the boring middle of the workday,high,
e652595c-3be6-b979-763e-c1bd31d81273,Cost Anomaly Detection without buying a third-party tool,Cloud spend as financial discipline,high,
314e7d6b-6619-8ed5-3d9c-c35ee131dd31,From Pilot to Practice: AI assistants on the operations team,AI in the boring middle of the workday,high,
f157a095-d855-da6b-6f59-2420e54a7490,Zero Trust for an org that wasn't built for it,Security and compliance as something we ship,high,
a4789c5b-a0c4-c0af-74ff-2cc3f87e025f,Hybrid by Design: where on-prem still wins,Cloud spend as financial discipline,high,
077482c6-69ce-c798-aa3f-1cba384e6d92,Inside the Field: what our top accounts told us this year,Real customer stories from inside the company,high,
f4f6def8-5689-c51f-1ede-b77543e92240,Voice of the Customer without the dashboards,Real customer stories from inside the company,high,
2f6353e5-742e-696e-48a0-01e073e07b4b,Region Strategy for a company that grew up in one zone,Cloud spend as financial discipline,high,
12245e80-2163-2c5a-990f-d96c48de164d,"Architecting for Spend, Not Just Speed",Cloud spend as financial discipline,high,
91d02ddf-b7e0-d33f-970f-baefde12c3e0,Sovereign Cloud: what changed when our regulator weighed in,Cloud spend as financial discipline,high,
26d8dde4-a5fa-0654-d3d3-f5793b95e258,The FinOps Conversation we should have had two years ago,Cloud spend as financial discipline,high,
93b36efa-dc46-dd76-16bd-78f700f6c9cf,The Lakehouse Conversation we keep avoiding,AI in the boring middle of the workday,medium,data talk re-cast as AI-in-workflows
6bee31c2-60e9-e79e-38ce-0ef20497d1a5,Multi-Cloud Reality: what we cut and what we kept,Cloud spend as financial discipline,high,
caf9fa3c-16f5-ed27-7680-d1337f8ee1bc,The Day-in-the-Life of a Tier 2 customer,Real customer stories from inside the company,high,
f1ee4363-da9a-bda4-1c4a-6c8b52b44682,Renewals as a Story Problem,Real customer stories from inside the company,high,
aa9bd196-c820-67b7-eaa7-261e29a8c8c0,How We Survived Our First Pen Test,Security and compliance as something we ship,high,
f656677c-fee7-5654-c0d3-f83873c5583b,Closing the Tap: cloud spend governance that actually works,Cloud spend as financial discipline,high,
c7b450a1-30e1-7501-a622-fe807c9781d0,"What I Learned rolling Copilot out to 4,000 employees",AI in the boring middle of the workday,high,
4c0560dc-dc03-f5ac-736e-0307531fac75,Build Times and the case for treating them as a feature,Developer experience as a strategic investment,high,
a78139d6-9b58-a936-d151-bf2b49d654ae,DX as a P&L Conversation,Developer experience as a strategic investment,high,
3ee4020d-c5a6-67ee-2e30-45c30024b116,Onboarding with Copilot: what changed in our first 90 days,AI in the boring middle of the workday,high,
9e06bf75-cb8c-14fc-1cd4-5b6cd532c659,Sovereign Cloud: what changed when our regulator weighed in,Cloud spend as financial discipline,high,
01ef145e-2ba2-d515-1d09-e1b60e12eb47,Decommissioning the Spreadsheet of Truth,AI in the boring middle of the workday,medium,data talk re-cast as AI-in-workflows
808eb9be-caa7-3851-5f6d-d521381fda79,Zero Trust for an org that wasn't built for it,Security and compliance as something we ship,high,
5fbe97c9-3583-b0b7-0c43-1821314d40e0,Selling Internally: telling our own story to leadership,Real customer stories from inside the company,high,
8d3d81f5-9a69-c06b-573a-f8500bd7d0ba,"Shift-Left, but Honestly",Security and compliance as something we ship,high,
67042f0e-200d-1776-7a4b-86b69b379840,From CI Hell to a 7-Minute Loop,Developer experience as a strategic investment,high,
c5959bd8-eaa4-4c4b-f7c3-19745f900a9b,"Show, Don't Sell: customer demos as the new sales motion",Real customer stories from inside the company,high,
99cb073f-1558-6490-7c95-e085a3bccdec,Decommissioning the Spreadsheet of Truth,Real customer stories from inside the company,medium,data talk re-cast as customer-story angle
18e782bd-e06b-3a7f-fbe3-504031066cfc,Data Contracts between platform and product,AI in the boring middle of the workday,medium,data talk re-cast as AI-in-workflows
97de1240-2e1c-6a19-fbcd-742f7f2b927c,From CI Hell to a 7-Minute Loop,Developer experience as a strategic investment,high,
dbf6bd89-9e62-b3f1-9977-473dadf2d4a3,Zero Trust for an org that wasn't built for it,Security and compliance as something we ship,high,
69ae75d1-9685-0f16-9c99-e02ca0c3bf99,Designing Prompts for non-technical teammates,AI in the boring middle of the workday,high,
d2fb7fdc-ac71-f997-9214-6fabf03a651d,Inside the Field: what our top accounts told us this year,Real customer stories from inside the company,high,
9e605d1c-0229-c5be-83a5-928ee752e093,Cost Anomaly Detection without buying a third-party tool,Cloud spend as financial discipline,high,
9b2a362f-87c5-0ece-b2dc-5cd5c2adb922,The Day-in-the-Life of a Tier 2 customer,Real customer stories from inside the company,high,
05eb97bd-e69c-89b7-d568-d247e60037a1,"Compliance as Code: what worked, what didn't",Security and compliance as something we ship,high,
6741d229-9de8-a5db-10b9-7ace50356bf7,"Shift-Left, but Honestly",Security and compliance as something we ship,high,
bfd63dcd-ee6d-8e35-65b3-49839c5e7233,Onboarding with Copilot: what changed in our first 90 days,AI in the boring middle of the workday,high,
353e4b46-c70c-3dd3-1b08-820dd755dc12,Reading Around the Model: when to trust an AI summary,AI in the boring middle of the workday,high,
398d11ff-e93f-eef8-7b8c-53577f695819,Data Contracts between platform and product,AI in the boring middle of the workday,medium,data talk re-cast as AI-in-workflows
4e30b453-614b-740c-d33e-933f75a9ff9f,Why I Stopped Calling It 'Tooling' and Started Calling It 'DX',Developer experience as a strategic investment,high,
a4f66a66-3ec0-73fb-074b-e500e749a6a3,The Ten-Minute Loop: AI-assisted research in product teams,AI in the boring middle of the workday,high,
95b89e15-32df-fe4c-7f15-9dbafc962f4c,Beyond the Demo: real productivity wins from AI in workflows,AI in the boring middle of the workday,high,
d100865f-28ee-68b9-4256-b4227a1cf733,The Quiet Heroism of Patching,Security and compliance as something we ship,high,
92dfc295-2985-9a27-1d13-21956921d1aa,Stop Asking AI for answers; start asking it for options,AI in the boring middle of the workday,high,
258c8eeb-3242-04f8-5484-bc336ce4c2ee,Onboarding with Copilot: what changed in our first 90 days,AI in the boring middle of the workday,high,
4adf95ba-6c47-ea57-cfbe-07fc90c9a548,Secrets Management without the side quests,Security and compliance as something we ship,high,
e8735c82-14ac-7aa9-ca49-614ea58c8c53,Telemetry as a Product Discipline,Real customer stories from inside the company,medium,data talk re-cast as customer-story angle
23c554e3-4278-0d3d-a1ea-093b8b6b4256,From Fear to Forecast: predictable cloud bills,Cloud spend as financial discipline,high,
c91ed5a0-f69e-9d22-aa8f-abc28cb4732c,Renewals as a Story Problem,Real customer stories from inside the company,high,
a6c99954-4a98-7da3-732c-827e5620eb2e,From Support Ticket to Roadmap Item: closing the loop,Real customer stories from inside the company,high,
e19db468-f1d3-214d-29f9-9ae540d8d64d,Hybrid by Design: where on-prem still wins,Cloud spend as financial discipline,high,
e9582498-ecdc-f13b-b2d5-3a16a9e755ca,Why I Stopped Calling It 'Tooling' and Started Calling It 'DX',Developer experience as a strategic investment,high,
2b7c76b5-9ef7-7ce0-16db-34e91e300bb1,Cost Anomaly Detection without buying a third-party tool,Cloud spend as financial discipline,high,
1cc78049-179c-d50d-c758-955ae7ac4fe8,Threat Modeling for product teams who hate threat modeling,Security and compliance as something we ship,high,
8f3b9ffc-b07a-5f65-477d-66f2b6348924,Multi-Cloud Reality: what we cut and what we kept,Cloud spend as financial discipline,high,
a914735a-d96e-a6d0-f776-8ea3f326b911,Eliminating Toil without eliminating people,Developer experience as a strategic investment,high,
7694037c-42ef-8242-dba3-83d9abb0a682,How AI changed our weekly status meeting,AI in the boring middle of the workday,high,
37e3a829-9480-7ce5-a645-431ad9337108,"Trust, but Verify: human review patterns for AI output",AI in the boring middle of the workday,high,
4c4715b2-5dc2-bc7b-e93e-0600004095e2,Beyond the Demo: real productivity wins from AI in workflows,AI in the boring middle of the workday,high,
522e2bd0-b745-d912-c606-ff3a24c55e65,How AI changed our weekly status meeting,AI in the boring middle of the workday,high,
b16de746-d9f3-6a9e-3cb2-2d13711145e7,Region Strategy for a company that grew up in one zone,Cloud spend as financial discipline,high,
f53690c1-a402-215d-94d1-074e115abb22,"Architecting for Spend, Not Just Speed",Cloud spend as financial discipline,high,
dbe2f558-b5e9-3d31-9c5c-3e8a8a9c5542,Multi-Cloud Reality: what we cut and what we kept,Cloud spend as financial discipline,high,
e62a53cf-375c-8066-0ae5-5f8860d72687,Beyond the Demo: real productivity wins from AI in workflows,AI in the boring middle of the workday,high,
cc5ff1c9-38fe-db13-a71d-1b9b7e1f786e,Eliminating Toil without eliminating people,Developer experience as a strategic investment,high,
f6796bdc-8492-fb9c-9129-b6c16f68dc47,How AI changed our weekly status meeting,AI in the boring middle of the workday,high,
362ef5e6-006e-55e8-80ad-b3a2cd6ac2a5,"Architecting for Spend, Not Just Speed",Cloud spend as financial discipline,high,
5ef2a74d-6aee-b854-b7bd-322e06da1fcc,Build Times and the case for treating them as a feature,Developer experience as a strategic investment,high,
6b53632f-b068-94ae-8e0a-861fb1167c4d,"What I Learned rolling Copilot out to 4,000 employees",AI in the boring middle of the workday,high,
8fe059bd-7a71-e266-ca1d-9a34bcd1bb0e,Hybrid by Design: where on-prem still wins,Cloud spend as financial discipline,high,
7f1d2ea9-6360-7535-1492-66888fd3898a,Secrets Management without the side quests,Security and compliance as something we ship,high,
927884ce-c694-96e7-2c2b-91463c0d6944,Beyond the Demo: real productivity wins from AI in workflows,AI in the boring middle of the workday,high,
43c6df7f-2637-bb39-0736-d897404d3ecc,Renewals as a Story Problem,Real customer stories from inside the company,high,
3a9a4de2-e0be-3d5c-a844-07103d0477c0,The Customer Who Fired Us and what they taught us,Real customer stories from inside the company,high,
fe17746c-e8ea-02fe-6f12-a87f5500d295,Reading Around the Model: when to trust an AI summary,AI in the boring middle of the workday,high,
ae239568-23ff-5af2-cec6-b26a04242af9,"Show, Don't Sell: customer demos as the new sales motion",Real customer stories from inside the company,high,
1ccbbeae-3208-d175-4bc6-445bf0778ca0,Cost Anomaly Detection without buying a third-party tool,Cloud spend as financial discipline,high,
707820a3-299a-c269-f91d-8b358e00f2b7,DX as a P&L Conversation,Developer experience as a strategic investment,high,
a29023f0-c3a1-c407-809f-3acc1b27bf01,Renewals as a Story Problem,Real customer stories from inside the company,high,
b349f55e-8b2f-f47f-89bc-3ac6f38e932d,How We Survived Our First Pen Test,Security and compliance as something we ship,high,
3f41c961-7be3-8b47-c1a8-78150fa05798,From Audit to Advantage: treating compliance as a feature,Security and compliance as something we ship,high,
56c4b8e4-de5e-94f8-5aa6-a14ad6e1726e,"What I Learned rolling Copilot out to 4,000 employees",AI in the boring middle of the workday,high,
895bee90-b7fb-45f4-1688-3a175c77a719,Renewals as a Story Problem,Real customer stories from inside the company,high,
b21df754-4144-c2c5-11d7-8591a9601750,"What I Learned rolling Copilot out to 4,000 employees",AI in the boring middle of the workday,high,
c836f16d-b00f-3458-10f3-38bba9e9535d,Co-Building with Customers: lessons from three pilots,Real customer stories from inside the company,high,
9120af0d-bbfc-380b-c57b-f0054ef54fa2,"Quality, Lineage, and Trust",Real customer stories from inside the company,medium,data talk re-cast as customer-story angle
f8998520-fa57-171e-92ba-14dbf407d991,Eliminating Toil without eliminating people,Developer experience as a strategic investment,high,
756b186e-b1c8-fcba-a5a7-f75e9bace3df,Golden Paths for a fifteen-team monorepo,Developer experience as a strategic investment,high,
21328991-9dd4-438a-73a3-d008a4477dab,Vendor Risk Reviews the engineering team will actually finish,Security and compliance as something we ship,high,
03050754-9bd9-fe6a-ba57-88e6e5a03295,Eliminating Toil without eliminating people,Developer experience as a strategic investment,high,
6164ade3-6dde-2f94-7f56-46e5ba597600,From Inbox to Insight: AI triage for customer signals,AI in the boring middle of the workday,high,
13904547-aa0c-48a5-a650-dc5de50f20b5,How AI changed our weekly status meeting,AI in the boring middle of the workday,high,
330294f3-340d-1f2b-19f3-0fc2e30a0ad8,Workflow Surgery: swapping in an AI step without breaking the loop,AI in the boring middle of the workday,high,
be1117af-1890-7980-8f62-c3883a87a2c9,Our DX Quarterly Review: what we measure and why,Developer experience as a strategic investment,high,
bb8ccbf8-487b-ece5-5650-2f25921a53a1,Threat Modeling for product teams who hate threat modeling,Security and compliance as something we ship,high,
458ee6ad-93a1-b5bf-02b2-95541b041d30,The Cost of Curiosity: metering ad-hoc analytics,unassigned,low,considered Data direction; cut as cross-cutting
3d4ac54b-ae80-e039-2c44-bbe64a91a76f,The Day-in-the-Life of a Tier 2 customer,Real customer stories from inside the company,high,
bac2b0cf-669c-6f7e-b9c0-3d604b269698,Threat Modeling for product teams who hate threat modeling,Security and compliance as something we ship,high,
6cc659ae-340d-8621-d368-eaa508c91d0c,The Cost of Curiosity: metering ad-hoc analytics,Real customer stories from inside the company,medium,data talk re-cast as customer-story angle
96864ceb-b084-e0d9-ed79-3a7741add0a0,Designing Prompts for non-technical teammates,AI in the boring middle of the workday,high,
94abce6a-5ce0-90dc-0bd5-d860ee83bca8,Multi-Cloud Reality: what we cut and what we kept,Cloud spend as financial discipline,high,
c73d14b2-ce94-9455-77f9-4fde94f943ee,Build Times and the case for treating them as a feature,Developer experience as a strategic investment,high,
8c109744-1197-d86f-cc3c-ba42d1c84abd,"What I Learned rolling Copilot out to 4,000 employees",AI in the boring middle of the workday,high,
e686ad71-d5ee-ac3d-80fe-2ed1a8c0251e,The Ten-Minute Loop: AI-assisted research in product teams,AI in the boring middle of the workday,high,
f368b355-a983-7a4a-8879-34e50a7697a3,Designing Prompts for non-technical teammates,AI in the boring middle of the workday,high,
513d7106-9f11-bba2-3243-c9e9d41e062a,"What I Learned rolling Copilot out to 4,000 employees",AI in the boring middle of the workday,high,
53db79b9-0503-efdc-f96e-9890206ebe13,Threat Modeling for product teams who hate threat modeling,Security and compliance as something we ship,high,
e7958434-7daa-f15f-89ab-11f003b0ca88,DX as a P&L Conversation,Developer experience as a strategic investment,high,
836fdd22-d4a1-62c9-3b24-4f1fbe17c73b,Sovereign Cloud: what changed when our regulator weighed in,Cloud spend as financial discipline,high,
ca40d508-ed39-fafc-4eeb-39d963ba1964,The Cost of Curiosity: metering ad-hoc analytics,unassigned,low,considered Data direction; cut as cross-cutting
cb786ea2-0b48-1175-1e70-3150a124d1ed,From Dashboard to Decision: killing zombie reports,AI in the boring middle of the workday,medium,data talk re-cast as AI-in-workflows
6d589354-610f-2ba5-ab3b-db7e3fe60e0c,Stop Asking AI for answers; start asking it for options,AI in the boring middle of the workday,high,
ce44c7be-dec1-9db9-2fec-554f555c58ab,"Compliance as Code: what worked, what didn't",Security and compliance as something we ship,high,
a68dfed0-b817-87c3-4166-29b855867d31,"Shift-Left, but Honestly",Security and compliance as something we ship,high,
a9cbe52b-407d-2eb5-f17b-7c69d725841a,Secrets Management without the side quests,Security and compliance as something we ship,high,
9817a6d7-e5b9-ce86-7beb-fc75228f243f,"Real Numbers, Real Names: outcome stories from year one",Real customer stories from inside the company,high,
6e3ff4bc-957c-683f-3c9a-18add470d8e3,From CI Hell to a 7-Minute Loop,Developer experience as a strategic investment,high,
c09a80e1-efa7-4762-061f-b4c62489b045,How Meridian's Field Team actually uses the platform,Real customer stories from inside the company,high,
5d37ce60-e2ac-1073-1fa0-b51ed636252f,The Quiet Cost of poor local dev environments,Developer experience as a strategic investment,high,
2e3b1add-c684-e7b1-0c1e-498779674740,"Trust, but Verify: human review patterns for AI output",AI in the boring middle of the workday,high,
07fbeb30-c085-6290-7965-ec0dc4e4d1c0,The Cloud Bill Postmortem ritual our CFO asked for,Cloud spend as financial discipline,high,
510e219e-a1a2-faf0-94cc-92b63f2a0c98,From Fear to Forecast: predictable cloud bills,Cloud spend as financial discipline,high,
6a60ff06-bb3b-6cd5-b637-1d7acaf4ffb9,From Support Ticket to Roadmap Item: closing the loop,Real customer stories from inside the company,high,
43677845-3f80-8a72-67bb-7369753faa82,"What I Learned rolling Copilot out to 4,000 employees",AI in the boring middle of the workday,high,
f7c2c2e5-6e12-0144-6d91-8a45803a2c9c,Closing the Tap: cloud spend governance that actually works,Cloud spend as financial discipline,high,
84dd2d06-cb48-1167-f443-04b866a13d73,The Quiet Cost of poor local dev environments,Developer experience as a strategic investment,high,
d114f558-b55f-e655-dbeb-784578b06fdc,Renewals as a Story Problem,Real customer stories from inside the company,high,
4f5b02a3-15e9-c1fa-bb34-a2661008c705,Sovereign Cloud: what changed when our regulator weighed in,Cloud spend as financial discipline,high,
371817a1-246d-d907-63fd-e57a63b16b21,"Trust, but Verify: human review patterns for AI output",AI in the boring middle of the workday,high,
c26c3280-22ab-c92e-2496-1f71f64a9ed0,The Cost of Curiosity: metering ad-hoc analytics,unassigned,low,considered Data direction; cut as cross-cutting
ce858a21-9c83-5ef8-9098-1367f107093f,Phishing Drills that didn't tank trust on the team,Security and compliance as something we ship,high,
6e2931e4-8f5c-9b77-b5a4-d8236f9ccca6,"Compliance as Code: what worked, what didn't",Security and compliance as something we ship,high,
574fdab4-b73f-195c-b31b-8ded38a5dc16,Multi-Cloud Reality: what we cut and what we kept,Cloud spend as financial discipline,high,
41763bbe-ff2a-79e4-258b-ed48b5b18b34,"What I Learned rolling Copilot out to 4,000 employees",AI in the boring middle of the workday,high,
e392ac4f-47a3-6c45-6e6d-17fb2b72a3ab,Cost Anomaly Detection without buying a third-party tool,Cloud spend as financial discipline,high,
54bb484a-f192-35e4-edf1-c6df81d667c6,The Ten-Minute Loop: AI-assisted research in product teams,AI in the boring middle of the workday,high,
ab0c0027-5202-ca03-97cc-958016604433,From Dashboard to Decision: killing zombie reports,unassigned,low,considered Data direction; cut as cross-cutting
b4a616c6-daf4-0c69-64ec-0de57a752642,Quietly Useful: AI for the unglamorous middle office,AI in the boring middle of the workday,high,
5a07e0c3-fb52-0c20-2f91-46fedad9f439,From Fear to Forecast: predictable cloud bills,Cloud spend as financial discipline,high,
86a0c7bc-cdbb-4819-5d20-1e1a72261ba4,Reserved Instances vs. serverless: a finance partnership story,Cloud spend as financial discipline,high,
4f5798d2-71cb-a1c8-c48e-3ad48cc5637b,Golden Paths for a fifteen-team monorepo,Developer experience as a strategic investment,high,
41c77313-d268-8bd4-0267-5e1e66ad8659,Eliminating Toil without eliminating people,Developer experience as a strategic investment,high,
2d18682a-506c-5365-9dd2-6269d810e4c4,Our DX Quarterly Review: what we measure and why,Developer experience as a strategic investment,high,
8214ce41-9dd8-e9c5-4388-02b2128db5d1,Internal Developer Platforms: pitched honestly,Developer experience as a strategic investment,high,
b98fd11e-31a6-95f7-64f7-c6d499ebac0b,Meridian on the Map: raising our external profile in 2026,Real customer stories from inside the company,medium,exec-only theme overlap (external brand visibility)
434f210e-c441-d04d-ada5-a89ee2c206d6,Data Contracts between platform and product,unassigned,low,considered Data direction; cut as cross-cutting
b0624162-b6fe-32b2-7302-d20a0c7530a6,"Quality, Lineage, and Trust",AI in the boring middle of the workday,medium,data talk re-cast as AI-in-workflows
2aa1b022-101f-0696-9467-f997208c701d,Multi-Cloud Reality: what we cut and what we kept,Cloud spend as financial discipline,high,
5545e1fb-8a6e-ca7b-badf-a8ac4317711f,Multi-Cloud Reality: what we cut and what we kept,Cloud spend as financial discipline,high,
2a05bf30-fc2a-ebe6-b897-fb1406d17a8b,"Compliance as Code: what worked, what didn't",Security and compliance as something we ship,high,
4c90be41-6331-b42c-a8c7-f1feb5527dae,Golden Paths for a fifteen-team monorepo,Developer experience as a strategic investment,high,
d9e73530-1805-dbb0-0b44-a41791cf21d4,Stop Asking AI for answers; start asking it for options,AI in the boring middle of the workday,high,
88c19bcd-4a2b-ea57-f297-434c15566196,From Support Ticket to Roadmap Item: closing the loop,Real customer stories from inside the company,high,
7f8c02a9-4288-7a2c-a043-3eb3e6f6377c,Inside the Field: what our top accounts told us this year,Real customer stories from inside the company,high,
3d6941e9-81c8-75ec-5f65-a89e3675db23,Telemetry as a Product Discipline,Real customer stories from inside the company,medium,data talk re-cast as customer-story angle
8ed61cf7-4a2d-8379-2a59-c02865000b04,The Quiet Heroism of Patching,Security and compliance as something we ship,high,
efe50704-e21d-3721-4990-5c7d296af06a,"Quality, Lineage, and Trust",Real customer stories from inside the company,medium,data talk re-cast as customer-story angle
92665774-4090-8a1d-a123-80d40e823e5a,Why Our Best Engineers Were Quietly Burning Out,Developer experience as a strategic investment,high,
e4481e70-9d97-9cd7-c8a6-79404f303294,Reading Around the Model: when to trust an AI summary,AI in the boring middle of the workday,high,
e78bd876-696b-ecc2-b3e4-7ee381f98e9e,Renewals as a Story Problem,Real customer stories from inside the company,high,
43db28d6-e610-8b18-6c97-b4323ff7db7c,Workflow Surgery: swapping in an AI step without breaking the loop,AI in the boring middle of the workday,high,
150f9c68-18f1-2a8c-ed08-76c7a224dd91,Inside the Field: what our top accounts told us this year,Real customer stories from inside the company,high,
324ffcc4-c683-6618-70b0-41e3c43f8094,Quietly Useful: AI for the unglamorous middle office,AI in the boring middle of the workday,high,
0df27819-8ef4-fb5c-a86e-25b975b1d766,"AI Pair Working for analysts, lawyers, and PMs",AI in the boring middle of the workday,high,
